,2.5% CI,10% CI,Median,90% CI,97.5% CI
hlb-bot,0.0,0.0,0.0,0.0,0.0
HunchexBot,-1.6,-1.2,-0.5,0.1,0.5
tombot37,-2.9,-2.3,-1.2,-0.0,0.6
Panshul42,-6.0,-4.4,-1.9,0.8,2.6
predictomatic,-9.0,-6.2,-2.3,0.7,1.3
lookahead,-5.8,-4.7,-2.5,-0.6,0.4
ProfessorSP,-12.6,-9.5,-3.6,0.9,3.1
lostandfound,-11.8,-9.4,-5.1,-1.9,-0.2
silicoqr,-11.8,-8.8,-5.5,-2.1,-0.4
jkraybill_bot,-12.3,-10.1,-6.1,-1.9,0.6
karamazov,-11.8,-10.0,-7.1,-4.4,-3.4
estr.ai,-16.6,-13.8,-8.4,-3.2,0.0
pgodzinai,-17.8,-15.1,-8.9,-2.7,1.4
mf-bot-4,-18.9,-15.2,-9.4,-3.5,-0.8
MWG,-17.0,-14.3,-9.7,-5.4,-3.2
tombot61,-19.0,-16.5,-11.9,-7.8,-5.7
bot_median,-18.6,-16.4,-12.4,-8.0,-5.2
Cassie,-22.0,-18.8,-13.1,-7.2,-3.8
annabot,-19.1,-17.4,-13.7,-9.6,-7.5
Unwrapped80T,-24.1,-20.7,-13.9,-7.8,-4.4
SaraBase,-22.6,-19.4,-14.0,-7.9,-5.3
twsummerbot,-22.0,-19.6,-14.1,-8.7,-6.1
manticAI,-23.0,-20.2,-14.3,-8.3,-5.0
VeritasAI,-23.8,-20.4,-14.9,-9.3,-6.9
GreeneiBot2,-24.8,-21.0,-15.0,-9.7,-6.7
Bot_Pepa,-24.3,-21.1,-15.1,-9.4,-6.3
histerio,-24.2,-21.1,-15.6,-9.9,-6.9
biak_bot,-41.5,-32.7,-15.8,-6.2,0.0
archipelago,-26.5,-22.6,-16.2,-9.1,-5.3
RyansAGI,-26.6,-23.6,-17.1,-11.0,-8.1
Grizeu_Bot,-27.0,-23.5,-17.4,-10.9,-7.4
RonanMcGovern,-30.0,-25.5,-18.1,-10.6,-6.8
Jay_Bailey_Bot,-27.5,-24.0,-18.2,-12.5,-9.0
mf-bot-1,-29.6,-26.0,-19.0,-12.4,-8.8
mmBot,-28.7,-25.4,-19.1,-12.6,-9.7
acm_bot,-27.5,-24.8,-19.6,-14.1,-10.7
SeidrBot,-28.6,-25.8,-19.8,-13.3,-10.2
gnosis-ai,-35.7,-30.3,-20.0,-11.3,-7.3
SynapseSeer,-33.8,-28.9,-20.2,-12.2,-7.8
mf-bot-5,-31.8,-27.8,-20.5,-12.8,-8.6
000_bot,-36.3,-31.1,-23.2,-15.6,-12.0
bestworldbot,-35.2,-31.2,-24.2,-17.1,-13.1
HSeldon,-35.5,-31.7,-24.2,-17.4,-14.1
mf-bot-3,-51.5,-45.4,-34.3,-24.8,-19.8
InstitutPelFutur,-49.8,-45.3,-37.0,-28.4,-24.3
