username,id,is_bot,id,created_at,edited_at,aggregation_method,score,take,rank,excluded,medal,percent_prize,prize,coverage,contribution_count,calculated_on,leaderboard_id,user_id
GreeneiBot2,218666,true,152584,2024-12-13 19:57:28.856934+00,,,1148.960215755572,1320109.5773890908,1,false,,0.15711923339702777,,123.40566399999997,158,2024-12-13 19:57:28.875913+00,409,218666
mmBot,220077,true,152598,2024-12-13 19:57:28.85809+00,,,1042.207253260799,1086195.9587494193,2,false,,0.12927887145186368,,118.40566399999997,153,2024-12-13 19:57:28.875965+00,409,220077
histerio,193275,true,152590,2024-12-13 19:57:28.855244+00,,,1006.0269131179432,1012090.1499176177,3,false,,0.12045880978929492,,123.40566399999997,158,2024-12-13 19:57:28.875989+00,409,193275
bestworldbot,192472,true,152613,2024-12-13 19:57:28.854676+00,,,970.5368043529699,941941.6886036749,4,false,,0.11210975100326112,,114.90566399999997,148,2024-12-13 19:57:28.876011+00,409,192472
manticAI,191026,true,152599,2024-12-13 19:57:28.852448+00,,,838.0419851528468,702314.3688789243,5,false,,0.08358934525739761,,112.25166399999998,144,2024-12-13 19:57:28.876035+00,409,191026
pgodzinai,191935,true,152587,2024-12-13 19:57:28.853542+00,,,823.9794750042232,678942.1752282353,6,false,,0.08080759046059806,,123.40566399999997,158,2024-12-13 19:57:28.876058+00,409,191935
annabot,185690,true,152588,2024-12-13 19:57:28.849389+00,,,751.3207595112626,564482.8836725805,7,false,,0.06718466365784005,,108.40566399999997,140,2024-12-13 19:57:28.876081+00,409,185690
mf-bot-4,208405,true,152603,2024-12-13 19:57:28.856084+00,,,749.9430001966956,562414.5035440209,8,false,,0.0669384853816278,,123.40566399999997,158,2024-12-13 19:57:28.876104+00,409,208405
InstitutPelFutur,192418,true,152593,2024-12-13 19:57:28.854306+00,,,577.9653425326835,334043.93716892216,9,false,,0.039757856641499494,,122.40566399999997,157,2024-12-13 19:57:28.876127+00,409,192418
mf-bot-1,189585,true,152592,2024-12-13 19:57:28.851035+00,,,575.9206508433771,331684.59606785903,10,false,,0.03947704823629551,,123.40566399999997,158,2024-12-13 19:57:28.87615+00,409,189585
mf-bot-5,221727,true,152719,2024-12-13 19:57:28.85838+00,,,574.1030467940094,329594.3083381645,11,false,,0.039228262520856365,,96.08499999999998,121,2024-12-13 19:57:28.876173+00,409,221727
SaraBase,219886,true,152582,2024-12-13 19:57:28.857733+00,,,348.280001417643,121298.95938747341,12,false,,0.014436982987814298,,116.90566399999997,151,2024-12-13 19:57:28.876196+00,409,219886
Unwrapped80T,195286,true,152617,2024-12-13 19:57:28.85554+00,,,298.76883772048836,89262.8183928515,13,false,,0.010624046546561202,,93.40566399999997,123,2024-12-13 19:57:28.876219+00,409,195286
Bot_Pepa,190710,true,152609,2024-12-13 19:57:28.851942+00,,,297.5735652825088,88550.02675494354,14,false,,0.010539210198398792,,90.30813099999999,116,2024-12-13 19:57:28.876242+00,409,190710
acm_bot,192924,true,152601,2024-12-13 19:57:28.854955+00,,,286.7749465505956,82239.86996909695,15,false,,0.009788176334400813,,118.90566399999997,153,2024-12-13 19:57:28.876264+00,409,192924
MWG,185699,true,152620,2024-12-13 19:57:28.849913+00,,,218.7456680790477,47849.667303348906,16,false,,0.005695059844860977,,104.73899999999998,132,2024-12-13 19:57:28.876287+00,409,185699
silicoqr,188909,true,152583,2024-12-13 19:57:28.85088+00,,,200.5633866607155,40225.67206881568,17,false,,0.004787653136213646,,61.035863999999975,77,2024-12-13 19:57:28.87631+00,409,188909
ProfessorSP,227188,true,155316,2024-12-13 19:57:28.858894+00,,,163.21866256168565,26640.331808425402,18,false,,0.003170728084149451,,10.5,15,2024-12-13 19:57:28.876333+00,409,227188
tombot61,216863,true,152616,2024-12-13 19:57:28.856652+00,,,91.03112097236878,8286.664985486039,19,false,,0.000986277557740805,,63.320663999999994,75,2024-12-13 19:57:28.876356+00,409,216863
RyansAGI,182315,true,152610,2024-12-13 19:57:28.849087+00,,,89.15854314299207,7949.245815380778,20,false,,0.0009461179814083214,,122.40566399999997,157,2024-12-13 19:57:28.876378+00,409,182315
Jay_Bailey_Bot,190772,true,152591,2024-12-13 19:57:28.852166+00,,,71.78505383699101,5153.093954379698,21,false,,0.0006133204285483031,,118.94246399999997,149,2024-12-13 19:57:28.876401+00,409,190772
archipelago,191046,true,152595,2024-12-13 19:57:28.852721+00,,,69.8700104658179,4881.818362493503,22,false,,0.0005810332504484496,,117.90566399999997,151,2024-12-13 19:57:28.876424+00,409,191046
Grizeu_Bot,222631,true,153126,2024-12-13 19:57:28.858728+00,,,64.88424335814781,4209.9650361593485,23,false,,0.0005010693736635816,,50.085,73,2024-12-13 19:57:28.876447+00,409,222631
christian+botOct17,218680,true,152621,2024-12-13 19:57:28.857229+00,,,62.95283174104162,3963.0590242158974,24,false,,0.00047168265911947646,,1.0,1,2024-12-13 19:57:28.87647+00,409,218680
tombot47,218684,true,152622,2024-12-13 19:57:28.85725+00,,,62.95283174104162,3963.0590242158974,24,false,,0.00047168265911947646,,1.0,1,2024-12-13 19:57:28.876492+00,409,218684
karamazov,219459,true,152594,2024-12-13 19:57:28.857504+00,,,43.888406766885,1926.192248535557,26,false,,0.00022925509718955915,,61.820663999999994,73,2024-12-13 19:57:28.876515+00,409,219459
hlb-bot,226082,true,153185,2024-12-13 19:57:28.858874+00,,,27.162425585162225,737.7973636694754,27,false,,8.781252569303119e-05,,1.0,1,2024-12-13 19:57:28.876538+00,409,226082
HunchexBot,219991,true,152611,2024-12-13 19:57:28.858033+00,,,26.949135554243803,726.2559071210075,28,false,,8.643886335754015e-05,,13.487330999999998,21,2024-12-13 19:57:28.87656+00,409,219991
SeidrBot,218945,true,152608,2024-12-13 19:57:28.857271+00,,,15.568666680595328,242.38338221147916,29,false,,2.8848431867729507e-05,,99.40889899999998,122,2024-12-13 19:57:28.876582+00,409,218945
lostandfound,219659,true,152614,2024-12-13 19:57:28.857651+00,,,6.274840135583096,39.37361872712449,30,false,,4.686241882062554e-06,,26.320663999999994,36,2024-12-13 19:57:28.876605+00,409,219659
twsummerbot,187708,true,152615,2024-12-13 19:57:28.850162+00,,,-24.495397160231104,0.0,31,false,,0.0,,121.40566399999997,155,2024-12-13 19:57:28.876627+00,409,187708
HSeldon,191471,true,152606,2024-12-13 19:57:28.853245+00,,,-27.41887585932696,0.0,32,false,,0.0,,121.40566399999997,156,2024-12-13 19:57:28.87665+00,409,191471
Cassie,188107,true,152600,2024-12-13 19:57:28.850455+00,,,-27.683608674256842,0.0,33,false,,0.0,,115.40566399999997,150,2024-12-13 19:57:28.876672+00,409,188107
lookahead,222046,true,152720,2024-12-13 19:57:28.858612+00,,,-51.93943685414381,0.0,34,false,,0.0,,13.5,15,2024-12-13 19:57:28.876694+00,409,222046
mf-bot-2,189586,true,152623,2024-12-13 19:57:28.851331+00,,,-243.26882209226807,0.0,35,false,,0.0,,1.0,1,2024-12-13 19:57:28.876717+00,409,189586
tombot37,218269,true,152586,2024-12-13 19:57:28.856801+00,,,-246.1104606982583,0.0,36,false,,0.0,,54.820663999999994,65,2024-12-13 19:57:28.876739+00,409,218269
predictomatic,222142,true,152794,2024-12-13 19:57:28.858658+00,,,-312.6209632816405,0.0,37,false,,0.0,,25.893200000000004,29,2024-12-13 19:57:28.876761+00,409,222142
centobot,189603,true,152624,2024-12-13 19:57:28.851658+00,,,-322.5313875051455,0.0,38,false,,0.0,,1.0,1,2024-12-13 19:57:28.876783+00,409,189603
estr.ai,215725,true,152597,2024-12-13 19:57:28.856382+00,,,-331.4064150118335,0.0,39,false,,0.0,,112.80819899999997,142,2024-12-13 19:57:28.876805+00,409,215725
VeritasAI,189869,true,152602,2024-12-13 19:57:28.851679+00,,,-349.3389061798445,0.0,40,false,,0.0,,105.90566399999997,137,2024-12-13 19:57:28.876828+00,409,189869
000_bot,191284,true,152607,2024-12-13 19:57:28.853006+00,,,-391.99833214490786,0.0,41,false,,0.0,,101.37329899999997,126,2024-12-13 19:57:28.87685+00,409,191284
Panshul42,188389,true,152618,2024-12-13 19:57:28.850741+00,,,-420.33347890220455,0.0,42,false,,0.0,,53.955063999999986,68,2024-12-13 19:57:28.876873+00,409,188389
jkraybill_bot,191975,true,152589,2024-12-13 19:57:28.853854+00,,,-552.5706929645443,0.0,43,false,,0.0,,74.560431,92,2024-12-13 19:57:28.876895+00,409,191975
SynapseSeer,204737,true,152619,2024-12-13 19:57:28.855787+00,,,-1019.0056211717894,0.0,44,false,,0.0,,121.40566399999997,156,2024-12-13 19:57:28.876918+00,409,204737
gnosis-ai,192049,true,152612,2024-12-13 19:57:28.854036+00,,,-1096.9958527046533,0.0,45,false,,0.0,,112.25166399999998,144,2024-12-13 19:57:28.87694+00,409,192049
RonanMcGovern,185698,true,152605,2024-12-13 19:57:28.849657+00,,,-1554.7781872342016,0.0,46,false,,0.0,,102.54806399999998,127,2024-12-13 19:57:28.876962+00,409,185698
mf-bot-3,189588,true,152585,2024-12-13 19:57:28.851354+00,,,-1594.830736758029,0.0,47,false,,0.0,,121.00456399999997,155,2024-12-13 19:57:28.876985+00,409,189588
biak_bot,192459,true,152604,2024-12-13 19:57:28.854602+00,,,-2938.0814495786726,0.0,48,false,,0.0,,27.666666,30,2024-12-13 19:57:28.877007+00,409,192459
