Rank,Forecaster,Weighted_Baseline,Count,Weighted Count
1,pro_median,2435.9981717717246,77,55.938
2,pgodzinai,1563.3329695383986,77,55.938
3,mf-bot-4,1499.2902155646957,77,55.938
4,estr.ai,1278.5349601414364,67,45.938
5,MWG,1268.4795442219493,67,48.938
6,bot_median,1248.8105068433445,77,55.938
7,histerio,1215.5703423088921,77,55.938
8,VeritasAI,1158.0617077342463,58,40.938
9,twsummerbot,1116.5147226659035,77,55.938
10,GreeneiBot2,1069.0625081032108,77,55.938
11,archipelago,1063.6221656036503,72,53.0804
12,manticAI,1060.9823242633995,72,50.938
13,Jay_Bailey_Bot,1051.836610689406,66,49.003099999999996
14,cp_baseline_score,1012.4398416046622,77,55.938
15,annabot,993.6186056569486,62,45.438
16,RyansAGI,981.8291882718688,77,55.938
17,Cassie,920.511058580285,72,50.938
18,jkraybill_bot,843.2522715827683,37,29.2534
19,mf-bot-1,811.2795122820139,77,55.938
20,SaraBase,630.2995128953856,73,51.938
21,mmBot,567.83666702091,74,52.938
22,karamazov,561.6717562954221,19,15.914199999999997
23,gnosis-ai,534.3806896375916,72,50.938
24,silicoqr,527.8653485256391,12,11.0566
25,acm_bot,423.7337119869874,68,49.438
26,Bot_Pepa,352.634783099908,54,42.4632
27,bestworldbot,344.87634341176647,72,51.4097
28,SynapseSeer,276.0687664448038,77,55.938
29,mf-bot-3,242.07706566060628,71,51.6061
30,Unwrapped80T,201.8304199728333,67,46.4097
31,tombot37,173.15989559538008,7,7.0
32,HSeldon,142.6249745648757,73,52.8814
33,lookahead,89.98871329863397,4,4.0
34,ProfessorSP,86.88719777551964,13,8.5
35,RonanMcGovern,31.712004952312043,57,40.438
36,hlb-bot,0.0,0,0.0
37,lostandfound,-15.574832513882129,10,9.5283
38,Panshul42,-30.41004888596791,13,12.5283
39,mf-bot-5,-81.52910316815094,67,46.4097
40,SeidrBot,-152.8600532340169,32,24.1561
41,tombot61,-154.65550520058525,24,18.0283
42,HunchexBot,-183.65012677171208,2,2.0
43,predictomatic,-335.8102617138977,2,2.0
44,Grizeu_Bot,-640.4827538042391,44,27.8531
45,InstitutPelFutur,-719.2616429098958,77,55.938
46,000_bot,-814.6724992174285,44,31.6561
47,biak_bot,-1059.5079958756196,8,6.584899999999999
